,TagSets,Views,User Rep,Preview Content
13,"['python', 'dataframe', 'python-polars']",117,24100,"
                    I have a long script in python, predominantly pandas, but shifting to polars.
I am reviewing memory of items.
To find 10 largest objects currently in use locals().items() and sys.getsizeof(), I run:
...
                "
14,"['oauth-2.0', 'browser-extension', 'stackexchange-api']",59,4948,"
                    I am implementing a browser extension that needs to do OAuth with a provider (in fact, it is the StackExchange API).
Currently the workflow is like the following:

Extension calls identity....
                "
15,"['sockets', 'micropython']",30,609000,"
                    tl;dr: Using a DNS server on a local network causes socket.getaddrinfo() to experience an error:

OS Error: [Error 103] ECONNABORTED

Using an internet DNS server works.
Details:  I have a very simple ...
                "
16,"['rust', 'cuda', 'gpu', 'arbitrary-precision']",108,29900,"
                    Context
I'm implementing a Julia set fractal renderer using CubeCL (a Rust GPU compute framework). I want to achieve ""infinite zoom"" similar to deep Mandelbrot zoom videos, which requires ...
                "
17,"['ruby-on-rails', 'aws-application-load-balancer']",42,16600,"
                    I have been tasked with setting up Google Tag Gateway for the website at work, and am struggling to understand how to get this done. We use rails backend and ALB and Route53 to route requests to our ...
                "
18,"['grafana', 'open-telemetry', 'source-maps', 'grafana-loki', 'grafana-alloy']",56,2046,"
                    I’m trying to configure Grafana Alloy to resolve my Angular application’s stack traces using source maps, but the mapping isn’t working as expected. Even though I have the sourcemaps downloaded ...
                "
19,"['mongodb', 'spring-boot', 'kotlin', 'mongock']",53,1316,"
                    I have a collection migrationTest in MongoDB with a unique index for the message field.
In my migration I'm inserting documents to this collection and in one place I'm using the existing message to ...
                "
20,['gnu-make'],103,217,"
                    I have a project where I need to build a series of targets. If the target has a same-named 'suppsrc' file that can be transformed to a 'supplement' file, use that too.
That is, if I have a file a.in, ...
                "
21,"['python', 'variables']",50,21300,"
                    I am learning python with flask, flask-mysqlbd, flask-login and flask-WTF for web development at the moment and I would like to solve this doubt.
How can I pass data between routes?
I come from .net ...
                "
22,"['c#', 'com', 'vb6', 'activex', 'vb6-migration']",167,22900,"
                    I'm porting an old Visual Basic 6 program. I deployed the migrated component in WPF and provide that component as an ActiveX control (C#, Windows Forms, .NET Framework) to add the control temporarily (...
                "
23,"['typescript', 'nestjs', 'microservices', 'monorepo', 'turborepo']",59,891,"
                    I’m building a monorepo using Turborepo and NestJS, following a microservices architecture with TCP communication between services.
Here’s my folder structure:
   apps/
 ├── api-gateway/
 │   ├── src/
...
                "
24,"['ios', 'xcode', 'react-native', 'mobile', 'expo']",166,23,"
                    I'm trying to put together a project for iOS at Expo.
I run the following commands:

rm -rf node_modules android ios

npm i
there is my package.json:
{
  ""name"": ""firstapp"",
  &...
                "
25,"['rust', 'polars', 'nushell']",66,21300,"
                    I just created this function for making label-encoding:
# Custom command to perform label encoding on a specified column of a table, it returns a polar dataframe
@example ""Simple example"" {
...
                "
26,"['r', 'gtsummary']",73,301,"
                    I am trying to generate a Lab shift table as below. The blue box has row percent & orange is column percent. I am struggling to figure out the 'green highlighted' percent.

Example code:
# Load ...
                "
27,"['typescript', 'next.js', 'oauth-2.0', 'amazon-cognito', 'aws-amplify']",50,11,"
                    I am using Amplify and Cognito's hosted UI Login page to handle my user authentication. I am able to redirect to the cognito hosted page, enter my user credentials, and redirect page to my sign in ...
                "
28,"['python', 'scipy', 'curve-fitting', 'scipy-optimize']",75,28000,"
                    I am attempting to perform a nonlinear curve fit to some experimental data obtained from an oscilloscope. The time signal is a sinusoidal voltage over time and I want to evaluate the phase of the ...
                "
29,"['javascript', 'reactjs', 'material-ui', 'safari']",66,301,"
                    I'm working on a React.js app with MaterialUI for the components. I'm having a problem with Safari browser (although it may happen on Firefox too. It works fine on Chrome tho). When Safari automatic ...
                "
30,"['vite', 'vite-plugin-development']",60,1345,"
                    I am working on a project that needs to be exported as a library. I use a custom preprocessor that works fine. Everything builds and runs fine, but when I add the lib entry to the vite.config.js, the ...
                "
31,"['dependency-injection', 'dagger']",15,1,"
                    I'm getting the following issue when I build my package.
Repeats modules with scoped bindings or declarations

- a.b.c.component also includes:
  - a.b.c.d.module with scopes: @javax.inject.Singleton

...
                "
32,"['excel', 'spring-boot', 'oauth-2.0', 'azure-active-directory', 'www-authenticate']",41,1,"
                    I’m developing a Spring Boot API that serves data to Excel via the “Export to Excel” feature. I want Excel to authenticate with Azure AD before calling my API.
I’ve implemented a custom ...
                "
33,"['javascript', 'html', 'fabricjs']",56,1,"
                    I'm working on converting HTML into FabricJS objects on a canvas. I want to take arbitrary HTML and translate its visual elements into corresponding FabricJS primitives (Textbox, Rect, Circle, Image, ...
                "
34,"['node.js', 'amazon-web-services', 'aws-lambda']",57,674,"
                    I’m developing a tool to speed up the AWS Lambda creation process for my colleagues and I, as we use it extensively, and I need to periodically check for deprecated runtimes. The idea is to create a ...
                "
35,"['python', 'speech-recognition', 'speech']",44,149000,"
                    I’m building a Python voice assistant using the speech_recognition library.
Everything works perfectly when I run the code from PyCharm or the terminal,
but when I convert it to an .exe using Auto Py ...
                "
36,"['windows', 'winapi']",92,609000,"
                    While trying to resolve dynamic DLLs (api-ms*, ext-ms*), I face a problem with an undefined reference from kernel32.AddDllDirectory: api-ms-win-core-libraryloader-l1-1-0.AddDllDirectory, but there is ...
                "
37,"['ios', 'swift', 'scenekit', 'metal', 'realitykit']",108,1213,"
                    I am implementing a ""glow"" effect in RealityKit. I followed this open source library which is in SceneKit: https://github.com/laanlabs/SCNTechniqueGlow. The basic idea is to create a ""...
                "
38,"['python', 'dependency-management', 'python-wheel', 'uv']",70,1,"
                    I am trying to download and install Python wheel packages into a uv virtual environment for a non-native (cross-platform) target environment.
When using pip, I would typically use flags like --...
                "
39,"['rust', 'async-await', 'lifetime', 'rust-tokio', 'drop']",89,1,"
                    I noticed that destructors (Drop) in async functions don’t always execute in the same order when nested awaits are used.
struct Guard(&'static str);
impl Drop for Guard { fn drop(&mut self) { ...
                "
40,"['r', 'shiny', 'rstudio']",56,11900,"
                    I have a problem installing packages in my RStudio with my new work laptop.
When installing a package from github with devtools::install_github(""dustinfife/flexplot"") the installation fails ...
                "
41,"['python', 'azure', 'azure-web-app-service', 'fastapi', 'uvicorn']",33,45,"
                    I’m hosting a FastAPI application on Azure App Service (Linux, Python 3.12).
The deployment works, but the logs repeatedly show the following errors:
chown: changing ownership of '/temp': Operation ...
                "
42,"['spring-boot', 'redis', 'microservices', 'spring-data-redis', 'redis-cluster']",36,441,"
                    I'm working with Spring Boot Microservice project.
For now i have used redis per microservice. I want to use redis cluster and have one microservice for caching data throw messaging system. I want to ...
                "
43,"['c', 'stm32', 'spi', 'rational-team-concert']",75,11,"
                    I am trying to use a DS3234 with a STM32. (on STM32CubeIDE)
Is answer me with some value but for some reason,

Every value is divided by 2 except for the month.
Second are updated every two (real)...
                "
44,"['c#', 'asp.net-core', 'windows-services', 'systemd', 'launchd']",889,1,"
                    Microsoft has defined the IHostLifetime interface for WorkerServices to run as services on different platforms. (You can create a Worker Service project with dotnet new worker in the console).
If you ...
                "
45,"['html', 'css', 'scrollbar']",781,1,"
                    According to caniuse the overflow: overlay property is deprecated and

related functionality being standardized as the scrollbar-gutter property.

A similiar reference is made over here, too.
The ...
                "
46,"['javascript', 'html', 'dart', 'angular-dart']",2000,1,"
                    1. Context
Creating Web Components is possible in vanilla JS by:

Creating a class that extends HTMLElement
And then registering it:
window.customElements.define('app-drawer', AppDrawer);
Since I have ...
                "
47,"['gpu', 'vertex-shader', 'webgpu', 'wgpu-rs', 'wgpu']",42,42200,"
                    I am trying to do Blinn-Phong lighting with multiple lights. For this, I need to calculate the tangent position of the lights to my vertex. But wgpu does not allow me to use an array of vecs in my ...
                "
48,"['android', 'firebase', 'android-studio']",3000,1,"
                    I am using firebase in my android app, and I have included several firebase client libraries in my build.gradle, each with its own version.
When a new version of each library was available, Android ...
                "
49,"['oauth-2.0', 'identityserver4', 'swagger-ui']",35,6535,"
                    I'm using Swagger UI to test APIs that require authentication to IdentityServer8 via OAuth 2.0 implicit flow. Is there any way to pass a custom parameter from Swagger UI to IdentityServer8 during ...
                "
